,title,genres,movie_url
40,Super 30 (film),Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Super_30_The_Film.jpg/220px-Super_30_The_Film.jpg
41,Family of Thakurganj,Action|Drama,https://upload.wikimedia.org/wikipedia/en/9/99/Family_of_Thakurganj.jpg
42,Batla House,Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/e/ed/Batla_House_poster.jpg
43,Jhootha Kahin Ka,Comedy,https://upload.wikimedia.org/wikipedia/en/a/a6/Jhootha_Kahin_Ka_Poster.jpg
44,Judgementall Hai Kya,Comedy|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/c/c8/Judgementall_Hai_Kya_poster.jpg
45,Chicken Curry Law,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Chicken_Curry_Law_Poster.jpg/220px-Chicken_Curry_Law_Poster.jpg
46,Arjun Patiala,Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Arjun_Patiala_poster.jpg/220px-Arjun_Patiala_poster.jpg
47,Jabariya Jodi,Action|Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/9/97/Jabariya_Jodi_poster.jpg
48,Pranaam,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Pranaam_poster.jpg/220px-Pranaam_poster.jpg
49,The Sky Is Pink,Drama|Family|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/The_Sky_Is_Pink.jpg/220px-The_Sky_Is_Pink.jpg
50,Mission Mangal,Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Mission_Mangal.jpg/220px-Mission_Mangal.jpg
51,Saaho,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/6/6b/Saaho_poster.jpg
52,Dream Girl (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Dream_Girl.png/220px-Dream_Girl.png
53,Section 375,Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Section_375_poster.jpg/220px-Section_375_poster.jpg
54,The Zoya Factor (film),Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/The_Zoya_Factor_poster.jpg/220px-The_Zoya_Factor_poster.jpg
55,Pal Pal Dil Ke Paas,Action|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Pal_Pal_Dil_Ke_Pass_poster.jpg/220px-Pal_Pal_Dil_Ke_Pass_poster.jpg
56,Prassthanam,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Prassthanam_poster.jpg/220px-Prassthanam_poster.jpg
57,P Se Pyaar F Se Faraar,Crime|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/7/74/P_Se_Pyaar_F_Se_Faraar_poster.jpg
58,Ghost (2019 film),Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Ghost_Film_Poster.jpg/220px-Ghost_Film_Poster.jpg
59,Bala (2019 film),Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Bala_Film_Poster.jpg/220px-Bala_Film_Poster.jpg
60,Yaaram (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg
61,Housefull 4,Action|Comedy|Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Housefull_4_poster.jpg/220px-Housefull_4_poster.jpg
62,Saand Ki Aankh,Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Saand_Ki_Aankh_poster.jpg/220px-Saand_Ki_Aankh_poster.jpg
63,Made in China (2019 film),Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Made_In_China_poster.jpg/220px-Made_In_China_poster.jpg
64,Ujda Chaman,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Ujda_Chaman_Film_Poster.jpg/220px-Ujda_Chaman_Film_Poster.jpg
65,Bypass Road (film),Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Bypass_Road_Film.jpg/220px-Bypass_Road_Film.jpg
66,Satellite Shankar,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Satellite_Shankar_poster.jpg/220px-Satellite_Shankar_poster.jpg
67,Jhalki,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Jhalki_Movie_Official_Poster.jpg/220px-Jhalki_Movie_Official_Poster.jpg
68,Marjaavaan,Action|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Marjaavaan_poster.jpg/220px-Marjaavaan_poster.jpg
69,Motichoor Chaknachoor,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Motichoor_Chaknachoor_poster.jpg/220px-Motichoor_Chaknachoor_poster.jpg
70,Keep Safe Distance (film),Action|Thriller,
71,Pagalpanti (2019 film),Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Pagalpanti_film_poster.jpg/220px-Pagalpanti_film_poster.jpg
72,Ramprasad Ki Tehrvi,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Ramprasad_Ki_Tehrvi.jpg/220px-Ramprasad_Ki_Tehrvi.jpg
73,Yeh Saali Aashiqui,Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Yeh_Saali_Aashiqui_film_poster.jpg/220px-Yeh_Saali_Aashiqui_film_poster.jpg
74,Dil Bechara,Drama|Romance,
75,Pati Patni Aur Woh (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Pati_Patni_Aur_Woh_poster.jpg/220px-Pati_Patni_Aur_Woh_poster.jpg
76,Commando 3 (film),Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Commando_3_official_poster.jpg/220px-Commando_3_official_poster.jpg
77,Mardaani 2,Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Mardaani_2_Film_poster.jpg/220px-Mardaani_2_Film_poster.jpg
78,Dabangg 3,Action,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Dabangg_3_poster.jpg/220px-Dabangg_3_poster.jpg
79,Good Newwz,Comedy|Drama|Romance,
80,Kaalakaandi,Comedy|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Kaalakaandi.jpg/220px-Kaalakaandi.jpg
81,Vodka Diaries,Mystery|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Vodka_Diaries_-_Poster.jpg/220px-Vodka_Diaries_-_Poster.jpg
82,My Birthday Song,Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/My_Birthday_Song_-_Poster.jpg/220px-My_Birthday_Song_-_Poster.jpg
83,Nirdosh,Drama|Mystery|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Nirdosh_-_Poster.jpg/220px-Nirdosh_-_Poster.jpg
84,Mukkabaaz,Action|Drama|Sport,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Mukkabaaz_poster.jpg/220px-Mukkabaaz_poster.jpg
85,Union Leader (film),Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Union_Leader_Poster.jpg/220px-Union_Leader_Poster.jpg
86,Love per Square Foot,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/3/3d/Love_Per_Square_Foot.png
87,Aiyaary,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Aiyaary_-_Poster.jpg/220px-Aiyaary_-_Poster.jpg
88,Padmaavat,Drama|History|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Padmaavat_poster.jpg/220px-Padmaavat_poster.jpg
89,Kuchh Bheege Alfaaz,Romance,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Kuchh_Bheege_Alfaaz.jpg/220px-Kuchh_Bheege_Alfaaz.jpg
90,Jaane Kyun De Yaaron,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Jaane_Kyun_De_Yaaron_film_poster.jpg/220px-Jaane_Kyun_De_Yaaron_film_poster.jpg
91,Veerey Ki Wedding,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Veerey_Ki_Wedding_-_Poster.jpg/220px-Veerey_Ki_Wedding_-_Poster.jpg
92,Sonu Ke Titu Ki Sweety,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Sonu_Ke_Titu_Ki_Sweety_-_Movie_Poster.jpg/220px-Sonu_Ke_Titu_Ki_Sweety_-_Movie_Poster.jpg
93,Hate Story 4,Crime|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Hate_Story_4_Official_Poster.jpg/220px-Hate_Story_4_Official_Poster.jpg
94,Dil Juunglee,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/8/8d/Dil_Juunglee.jpg
95,3 Storeys,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/3_Storeys_-_Movie_Poster.jpg/220px-3_Storeys_-_Movie_Poster.jpg
96,Raid (2018 film),Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Ajay_Devgn%27s_Raid_poster.jpg/220px-Ajay_Devgn%27s_Raid_poster.jpg
97,Hichki,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Hichki_-_Poster.jpg/220px-Hichki_-_Poster.jpg
98,Missing (2018 film),Drama|Mystery|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Missing_film.jpg/220px-Missing_film.jpg
99,Baaghi 2,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Baaghi_2_Official_Poster.jpg/220px-Baaghi_2_Official_Poster.jpg
100,October (2018 film),Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/October_%282018_film_poster%29.jpg/220px-October_%282018_film_poster%29.jpg
101,Mercury (film),Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Mercury_film.jpg/220px-Mercury_film.jpg
102,Beyond the Clouds (2017 film),Drama|Family,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Beyond_The_Clouds_poster.jpg/220px-Beyond_The_Clouds_poster.jpg
103,Nanu Ki Jaanu,Comedy|Drama|Horror,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Nanu_ki_jaanu.jpg/220px-Nanu_ki_jaanu.jpg
104,Daas Dev,Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/32px-Flag_of_India.svg.png
105,Omerta (film),Action|Biography|Crime,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Omerta_film.jpg/220px-Omerta_film.jpg
106,Raazi,Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Raazi_-_Poster.jpg/220px-Raazi_-_Poster.jpg
107,Hope Aur Hum,Comedy|Drama|Family,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Hope_Aur_Hum_-_Poster.jpg/220px-Hope_Aur_Hum_-_Poster.jpg
108,High Jack (film),Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/High_Jack_-_Poster.jpg/220px-High_Jack_-_Poster.jpg
109,Khajoor Pe Atke,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/KajurPeAtke.jpeg/220px-KajurPeAtke.jpeg
110,Parmanu: The Story of Pokhran,Action|Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Parmanu_film_poster.jpeg/220px-Parmanu_film_poster.jpeg
111,Bioscopewala,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Bioscopewala_-_Poster.jpg/220px-Bioscopewala_-_Poster.jpg
112,Bhavesh Joshi Superhero,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Bhavesh_Joshi.jpg/220px-Bhavesh_Joshi.jpg
113,Phamous,Comedy|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Phamous_-_Poster.jpg/220px-Phamous_-_Poster.jpg
114,Race 3,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Race_3_-_Poster.jpg/220px-Race_3_-_Poster.jpg
